PII	Table	Correct/Incorrect	Matskraft Comment	Paper Category??	Reason for Failure	
S0040609004014671	1	1				
S0272884221031710	2					
S0040609096094321	2	1				
S0022309314001793	4	1				Last Checked - S129325580700413X
S0022311523001824	6					
S1293255814002568	1					
S1293255811003785	1					
S0272884217300780	2					
S0022369701000816	2	!!!	Incorrect Extraction by Matskraft			
S1293255814002015	1					
S0272884223026500	1					
S0022311504005367	3					
S0272884223003978	2					
S0167577X05004799	1	1				
S0167577X06001327	1	1				
S0167577X06005520	5	1	Incorrect Extraction by Matskraft		Doping Relations	
S027288422202274X	2	1			"Instead of Sintering, mentioned simply temp"	
S129325580700413X	5	0	Incorrect Extraction by Matskraft	Positional properties	Composition Not Defined	
S0022231310004898	1	1				
S0040609007004142	1	0	Incorrect Extraction by Matskraft		Improper alignment of blanks and compositions	
S0022309321002969	1	1				
S0925346721011216	1					
S0167273806004991	4					
S0925346706002503	1					
S1293255820302259	3					
S0022309319302340	3	0	Improper Extractin from Matskraft		Extracted Material ID from table instead of the composition.	
S0022309320306189	1	0			Extracted Material ID from table instead of the composition.	
S003810982200134X	2	1	Incorrect Extraction by Matskraft			
S0925346718302520	2					
S0272884221003473	3					
S0022369722006102	3					
S0272884220301073	3					
S0038109820305019	1	1				
S0925346720302809	1					
S0272884216300542	4					
S016727381530237X	3	1	Partial Incorrect Extraction for Matskraft			
S0040609002007204	1	1	Incorrect Extraction by Matskraft		Incomplete extraction	
S0167577X99000282	1	1	Incorrect Extraction by Matskraft	Composite Material		
S0038109806004674	1	1				
S002245962100308X	2	1	Incorrect Extraction by Matskraft			
S0022369722003067	3	0			Did not correlate the columns well (Blank-description not aligned)	
S027288421402029X	2	0			Extracted Material ID from table instead of the composition.	
S002223131530291X	3	1	Incorrect Extraction by Matskraft	Doped Material		
S0022459613000169	5					
S0040609012014320	1					
S0022369707001394	2	0		???		
S0040609099008147	4	0	Incorrect Extraction by Matskraft	Annealing Point == Annealing Temperature		
S0040609014001072	1	0			Extracted Material ID from table instead of the composition.	
S0272884216316327	4					
S027288421500975X	3	0			Extracted Material ID from table instead of the composition.	
S0022309310001523	4	1		Opto-thermal thin films		
S0022311523001824	5	1			!!!	
S0022459603005711	1	1				
S0272884222004497	3					
S0022311509004164	1	1		???		
S0022311503003234	2	1	Improper Extractin from Matskraft			
S0272884223034582	1	1	Improper Extractin from Matskraft			
S0040609005022650	1	0		Composite/Layer	Incomplete Descryption	
S0022311505002096	2	1				
S0272884215005635	2					
S0167273803001449	1					
S0167273808006176	2					
S0272884217302894	2					
S1293255808003282	3					
S027288420300172X	1	1			Complete description missing and common name used	
S0272884210000131	1					
S003810980000243X	1	1				
S0272884206000927	1					
S0272884218321217	1					
S0022231313006947	4	0	Partial Improper Extraction from Matskraft	Thermoluminiscence	Extracted Material ID from table instead of the composition.	
S002231152200410X	2	0			Extracted Material ID from table instead of the composition.	
S0022311516307103	1	1				
S0040609007004701	1	0	Incorrect Extraction by Matskraft	Composite Material	Incomplete Descryption	
S0272884216311920	3					
S0272884220319878	3					
S0167273821002216	2					
S0022311502012928	1	1	Incorrect Extraction by Matskraft			
S0022459615000663	2	0	Incorrect Extraction by Matskraft	Composite Material	Extracted Material ID from table instead of the composition.	
S0022231323002168	4	1	Incorrect Extraction by Matskraft			
S0022231313003566	1	1	Improper Extractin from Matskraft	Thermoluminiscence change		
S0040609018300749	2	0			Incomplete Descryption	
S0022311512006344	1	0			Extracted Material ID from table instead of the composition.	
S0167577X06007804	1					
S0040609005000568	1	0		Thin Film Deposition	Incomplete Descryption	
S0167577X05011511	2	1	Improper Extractin from Matskraft			
S0272884218313580	1					
S0167273800007554	3					
S0022311501006201	2	1	Incorrect Extraction by Matskraft			
S0022459617303274	5	1		Chemical reaction	???	
S0040609002011203	3	1	Incorrect Extraction by Matskraft	Annealing Point == Annealing Temperature		
S0925346708000797	1					
S0022369704001908	2	0			???	
S0925346716300192	2					
S1293255815000357	1					
S0040609010005900	4	0	Improper Extractin from Matskraft	Spatial Differentiation	Incomplete Descryption	
S0167273807000549	2					
S0022311510008585	1	-	Improper Extractin from Matskraft	Nuclear Fusion Experimental conditions		
S0167577X12003023	1					
S002223131300269X	1	1	Incorrect Extraction by Matskraft			
S0022309316300606	3	0			Extracted Material ID from table instead of the composition.	
