Table 1:
DOI: 10.1016/S0040-6090(96)09432-1
Caption: Chemical and physical characteristics of the Al2O3 starting powders
Footer: {}
Table Data:
Powder	Purity	Specific surface	Equivalent spherical	Density	Crystalline																																																																																																																																																																																																																																																																																																																																																																																																										
	(%)	area (m2 g-1)	2	-1	diameter (mm)	(g cm-3)	-3	phase																																																																																																																																																																																																																																																																																																																																																																																																							
Reynolds	99.95	8.56	0.18	3.95	a-Al2O3	a	2	3																																																																																																																																																																																																																																																																																																																																																																																																							
RC-HP DBM																																																																																																																																																																																																																																																																																																																																																																																																															
Alcoa	99.50	9.58	0.16	3.99	a-Al2O3	a	2	3																																																																																																																																																																																																																																																																																																																																																																																																							
A-16																																																																																																																																																																																																																																																																																																																																																																																																															
Baikalox	99.9998	27.26	0.058	3.89	a-Al2O3	a	2	3																																																																																																																																																																																																																																																																																																																																																																																																							
CR30																																																																																																																																																																																																																																																																																																																																																																																																															
Ceralox	99.97	10.63	0.14	3.94	a-Al2O3	a	2	3																																																																																																																																																																																																																																																																																																																																																																																																							
APA 0.5																																																																																																																																																																																																																																																																																																																																																																																																															
Ceralox	99.90	10.80	0.15	3.95	a-Al2O3	a	2	3																																																																																																																																																																																																																																																																																																																																																																																																							
HPA 0.5																																																																																																																																																																																																																																																																																																																																																																																																															

Table 2:
DOI: 10.1016/S0040-6090(96)09432-1
Caption: Characteristics of HIP and pressureless sintered samples
Footer: {}
Table Data:
Powder	CIP pressure	r green/r th	r	green	r	th	r	r	r/r th	r	r	th	Average pore																																																																																																																																																																																																																																																																																																																																																																																																		
	(MPa)	(g cm-3)	-3	(g cm-3)	-3	(%)	radius (mm)																																																																																																																																																																																																																																																																																																																																																																																																								
HIP 1300 degCx1 h, 100 MPa Ar	HIP 1300 degCx1 h, 100 MPa Ar	HIP 1300 degCx1 h, 100 MPa Ar	HIP 1300 degCx1 h, 100 MPa Ar	HIP 1300 degCx1 h, 100 MPa Ar	HIP 1300 degCx1 h, 100 MPa Ar																																																																																																																																																																																																																																																																																																																																																																																																										
Reynolds	50	56.7	2.69	68.1	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
	100	58.2	2.51	63.5	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
Alcoa	50	55.6	2.68	67.2	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
	100	56.1	2.73	68.4	0.050																																																																																																																																																																																																																																																																																																																																																																																																										
Baikalox	50	40.4	1.95	50.1	0.059																																																																																																																																																																																																																																																																																																																																																																																																										
	100	42.2	1.91	49.1	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
Ceralox APA	50	57.6	2.46	62.4	0.046																																																																																																																																																																																																																																																																																																																																																																																																										
	100	59.4	2.76	70.1	0.040																																																																																																																																																																																																																																																																																																																																																																																																										
Ceralox HPA	50	56.7	2.65	67.1	0.038																																																																																																																																																																																																																																																																																																																																																																																																										
	100	57.7	3.08	78.0	0.040																																																																																																																																																																																																																																																																																																																																																																																																										
HIP 1250 degCx1 h, 100 MPa Ar	HIP 1250 degCx1 h, 100 MPa Ar	HIP 1250 degCx1 h, 100 MPa Ar	HIP 1250 degCx1 h, 100 MPa Ar	HIP 1250 degCx1 h, 100 MPa Ar	HIP 1250 degCx1 h, 100 MPa Ar																																																																																																																																																																																																																																																																																																																																																																																																										
Reynolds	50	56.7	2.47	62.5	0.057																																																																																																																																																																																																																																																																																																																																																																																																										
	100	58.2	2.47	62.5	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
Alcoa	50	55.6	2.54	63.7	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
	100	56.1	2.64	66.2	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
Baikalox	50	40.4	1.62	41.6	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
	100	42.2	1.87	48.1	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
Ceralox APA	50	57.6	2.40	60.9	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
	100	59.4	2.38	60.4	0.038																																																																																																																																																																																																																																																																																																																																																																																																										
Ceralox HPA	50	56.7	2.39	60.5	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
	100	57.7	2.46	62.3	0.046																																																																																																																																																																																																																																																																																																																																																																																																										
Pressureless sintering 1300 degCx1 h	Pressureless sintering 1300 degCx1 h	Pressureless sintering 1300 degCx1 h	Pressureless sintering 1300 degCx1 h	Pressureless sintering 1300 degCx1 h	Pressureless sintering 1300 degCx1 h																																																																																																																																																																																																																																																																																																																																																																																																										
Reynolds	50	56.7	2.69	68.1	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
	100	58.2	2.78	70.4	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
Alcoa	50	55.6	2.69	67.4	0.046																																																																																																																																																																																																																																																																																																																																																																																																										
	100	56.1	2.76	69.2	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
Baikalox	50	40.4	1.87	48.1	0.059																																																																																																																																																																																																																																																																																																																																																																																																										
	100	42.2	1.74	44.7	0.057																																																																																																																																																																																																																																																																																																																																																																																																										
Ceralox APA	50	57.6	2.85	72.3	0.038																																																																																																																																																																																																																																																																																																																																																																																																										
	100	59.4	2.76	70.1	0.038																																																																																																																																																																																																																																																																																																																																																																																																										
Ceralox HPA	50	56.7	2.60	65.8	0.048																																																																																																																																																																																																																																																																																																																																																																																																										
	100	57.7	2.74	69.4	0.046																																																																																																																																																																																																																																																																																																																																																																																																										

