raw,canon,has_pct,has_wt,has_vol,has_at,has_mol,has_colon,has_slash,many_dashes,paren,bracket,cluster
"(Zr, 50.0)(Cu, 40.0)(Al, 10.0)","(Zr, 50.0)(Cu, 40.0)(Al, 10.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
"(Zr, 51.0)(Cu, 28.0)(Al, 21.0)","(Zr, 51.0)(Cu, 28.0)(Al, 21.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
"(Zr, 50.0)(Cu, 40.0)(Al, 10.0)","(Zr, 50.0)(Cu, 40.0)(Al, 10.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
"(Zr, 50.0)(Cu, 40.0)(Al, 10.0)","(Zr, 50.0)(Cu, 40.0)(Al, 10.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
"(Zr, 50.0)(Cu, 40.0)(Al, 10.0)","(Zr, 50.0)(Cu, 40.0)(Al, 10.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
"(Zr, 51.0)(Cu, 28.0)(Al, 21.0)","(Zr, 51.0)(Cu, 28.0)(Al, 21.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
"(Zr, 50.0)(Cu, 40.0)(Al, 10.0)","(Zr, 50.0)(Cu, 40.0)(Al, 10.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
"(Zr, 51.0)(Cu, 28.0)(Al, 21.0)","(Zr, 51.0)(Cu, 28.0)(Al, 21.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
"(Zr, 50.0)(Cu, 40.0)(Al, 10.0)","(Zr, 50.0)(Cu, 40.0)(Al, 10.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51
"(Cu10Zr7, 100.0)|(CuZr2, 100.0)|(CuZr, 100.0)","(Cu10Zr7, 100.0)|(CuZr2, 100.0)|(CuZr, 100.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1
"(Ge, 40.0)(Te, 38.0)(Se, 20.0)(Sc, 2.0)","(Ge, 40.0)(Te, 38.0)(Se, 20.0)(Sc, 2.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96
"(Sb2Te, 100.0)|(Sb2Te, 95.0)(Sc, 5.0)|(Sb2Te, 90.0)(Sc, 10.0)|(Sb2Te, 85.0)(Sc, 15.0)","(Sb2Te, 100.0)|(Sb2Te, 95.0)(Sc, 5.0)|(Sb2Te, 90.0)(Sc, 10.0)|(Sb2Te, 85.0)(Sc, 15.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1
"(Te, 100.0)|(Te, 95.0)(Ge, 2.5)(Se, 2.5)(Sc, 5.0)|(Te, 90.0)(Ge, 5.0)(Se, 5.0)(Sc, 10.0)|(Te, 85.0)(Ge, 7.5)(Se, 7.5)(Sc, 15.0)","(Te, 100.0)|(Te, 95.0)(Ge, 2.5)(Se, 2.5)(Sc, 5.0)|(Te, 90.0)(Ge, 5.0)(Se, 5.0)(Sc, 10.0)|(Te, 85.0)(Ge, 7.5)(Se, 7.5)(Sc, 15.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1
"(Sb2Te, 100.0)|(Sb2Te, 95.0)(Sc, 5.0)|(Sb2Te, 90.0)(Sc, 10.0)|(Sb2Te, 85.0)(Sc, 15.0)","(Sb2Te, 100.0)|(Sb2Te, 95.0)(Sc, 5.0)|(Sb2Te, 90.0)(Sc, 10.0)|(Sb2Te, 85.0)(Sc, 15.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1
