raw,canon,has_pct,has_wt,has_vol,has_at,has_mol,has_colon,has_slash,many_dashes,paren,bracket,cluster
WC-10vol%Co,WC-10vol%Co,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
MgO,MgO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ti52.8C0.0N47.2,Ti52.8C0.0N47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
50wt% CaO-B2O3-SiO2 glass-Al2O3,50wt% CaO-B2O3-SiO2 -Al2O3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
Ca0.75Pr0.25F2.25,Ca0.75Pr0.25F2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Li6.1Ga0.3La3Zr2O12-10wt%Li2O–B2O3–SiO2,Li6.1Ga0.3La3Zr2O12-10wt%Li2O-B2O3-SiO2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
SiCf/SiC-3wt%Ti3SiC2,SiCf/SiC-3wt%Ti3SiC2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
Li6.75La3Zr1.75Ta0.25O12,Li6.75La3Zr1.75Ta0.25O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ThO2-0.25mol%CaO,ThO2-0.25mol%CaO,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Eu2(SO4)3,Eu2(SO4)3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4
CuInSe2,CuInSe2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10SrO-8.5Al2O3-60B2O3-10BaCl2-10TeO2-1.5Er2O3,10SrO-8.5Al2O3-60B2O3-10BaCl2-10TeO2-1.5Er2O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
Ti48.7C0.0N51.3,Ti48.7C0.0N51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
23.04at.%V:24.72at.%Ti:49.41at.%N,23.04at.%V:24.72at.%Ti:49.41at.%N,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
K2YF5:10at.%Tb3+,K2YF5:10at.%Tb3+,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
25.48at.%V:21.65at.%Ti:51.40at.%N,25.48at.%V:21.65at.%Ti:51.40at.%N,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
10%Yb:LSB,10%Yb:LSB,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
CdO:1mol.%AlO,CdO:1mol.%AlO,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Polyethylene Oxide-LiClO4,Polyethylene Oxide-LiClO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Co0.7Zn0.3Fe1.975Ho0.025O4,Co0.7Zn0.3Fe1.975Ho0.025O4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
PES,PES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CdO:2mol.%AlO,CdO:2mol.%AlO,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Heraeus CT700,Heraeus CT700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
03%Yb:Lu2O3,03%Yb:Lu2O3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Ti26.3C31.5N42.2,Ti26.3C31.5N42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
