raw,canon,has_pct,has_wt,has_vol,has_at,has_mol,has_colon,has_slash,many_dashes,paren,bracket,cluster
Title: Kinetic parameters and luminescence properties of rare earth (Tb Nd) doped and transition metal (Mn) doped/co-doped YAlO,Title: Kinetic parameters and luminescence properties of rare earth (Tb Nd) doped and transition metal (Mn) doped/co-doped YAlO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,28
"Abstract: In this work, phosphor materials with the formula YAlO3 were synthesized via sol-gel method by using the stoichiometric amounts of yttrium nitrate and aluminum nitrate as base materials.","Abstract: In this work, phosphor materials with the formula YAlO3 were synthesized via sol-gel method by using the stoichiometric amounts of yttrium nitrate and aluminum nitrate as base materials.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102
"The obtained phosphors were doped/co-doped with Tb3+, Nd3+ rare earth ions and Mn2+ transition metal ion.","The obtained phosphors were doped/co-doped with Tb3+, Nd3+ rare earth ions and Mn2+ transition metal ion.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9
"Optical absorption spectra, photoluminescence (PL) and thermoluminescence (TL) were performed to determine a relationship the changing dopant on luminescence properties of YAlO3.","Optical absorption spectra, photoluminescence (PL) and thermoluminescence (TL) were performed to determine a relationship the changing dopant on luminescence properties of YAlO3.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,103
Strong green emission was detected in the sample doped with Mn2+ correspond to 4T1(G)→6A1(S) transition.,Strong green emission was detected in the sample doped with Mn2+ correspond to 4T1(G)→6A1(S) transition.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
"As for YAlO3: Nd3+, characteristic emissions originated from 4G11/2 → 4I9/2 (∼423 nm), 4G9/2 → 4I9/2 (∼460 nm) and 4G7/2 → 4I9/2 (∼540 nm) transitions were seen.","As for YAlO3: Nd3+, characteristic emissions originated from 4G11/2 → 4I9/2 (∼423 nm), 4G9/2 → 4I9/2 (∼460 nm) and 4G7/2 → 4I9/2 (∼540 nm) transitions were seen.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,32
The optical band gap of undoped sample was calculated as 2.79 eV and depending on the presence of Nd3+ and Tb3+ dopant ions this value was decreased to the range 2.46–2.56 eV. Keywords: Thermoluminescence Photoluminescence Kinetic parameters YAlO3 Sol-gel Acknowledgements: Acknowledgement: Acknowledgement The work described here was financially supported by the Scientific Research Coordinate Unit of Manisa Celal Bayar University Contract no: FEF 2018-135.,The optical band gap of undoped sample was calculated as 2.79 eV and depending on the presence of Nd3+ and Tb3+ dopant ions this value was decreased to the range 2.46-2.56 eV. Keywords: Thermoluminescence Photoluminescence Kinetic parameters YAlO3 Sol-gel Acknowledgements: Acknowledgement: Acknowledgement The work described here was financially supported by the Scientific Research Coordinate Unit of Manisa Celal Bayar University Contract no: FEF 2018-135.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,51
Introduction: In the recent years there has been an increasing interest in designing and developing of new efficient luminescent materials consist of the host and doped ion.,Introduction: In the recent years there has been an increasing interest in designing and developing of new efficient luminescent materials consist of the host and doped ion.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102
"Among many hosts, RAlO3 (R=Gd, Tb, Lu or Y) perovskites have emerged as a excellent host that can be used as an extensive luminescent material in lighting and micro imaging","Among many hosts, RAlO3 (R=Gd, Tb, Lu or Y) perovskites have emerged as a excellent host that can be used as an extensive luminescent material in lighting and micro imaging",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104
"The Al2O3–Y2O3 binary system has been used as starting materials due to their thermal conductivity and high temperature resistance, etc.","The Al2O3-Y2O3 binary system has been used as starting materials due to their thermal conductivity and high temperature resistance, etc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
"In the yttria (Y2O3) - alumina (Al2O3) phase diagram, there are four different crystalline phases: YAP (Yttrium Aluminum Perovskite: YAlO3) with orthorhombic perovskite structure, YAH (Yttrium Aluminum Hexagonal: YAlO3) with metastable hexagonal structure, YAG (Yttrium Aluminum Garnet: Y3Al5O12) with cubic garnet structure and YAM (Yttrium Aluminium Monoclinic: Y4Al2O9) with monoclinic structure.","In the yttria (Y2O3) - alumina (Al2O3) phase diagram, there are four different crystalline phases: YAP (Yttrium Aluminum Perovskite: YAlO3) with orthorhombic perovskite structure, YAH (Yttrium Aluminum Hexagonal: YAlO3) with metastable hexagonal structure, YAG (Yttrium Aluminum Garnet: Y3Al5O12) with cubic garnet structure and YAM (Yttrium Aluminium Monoclinic: Y4Al2O9) with monoclinic structure.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,97
"Among these, YAlO3 (yttrium orthoaluminate perovskite), with good mechanical and thermal properties, natural birefringence and anisotropy, is well-suited material for being used as host for lasers, fast scintillators and phosphors","Among these, YAlO3 (yttrium orthoaluminate perovskite), with good mechanical and thermal properties, natural birefringence and anisotropy, is well-suited material for being used as host for lasers, fast scintillators and phosphors",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104
Doping of rare earth ion helps in improving the efficiency of phosphor resulted from a partially filled 4fn (1 < n < 14) shell of the ion.,Doping of rare earth ion helps in improving the efficiency of phosphor resulted from a partially filled 4fn (1 < n < 14) shell of the ion.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1
"Because it is known that 4f electrons are well shielded by 5s2 and 5p6 orbitals; depending on the 4f–4f inner-shell transitions rare earth elements have been widely used as dopant in phosphors to optimize the properties (high luminescence yield, narrow emission line, and long decay time constant)","Because it is known that 4f electrons are well shielded by 5s2 and 5p6 orbitals; depending on the 4f-4f inner-shell transitions rare earth elements have been widely used as dopant in phosphors to optimize the properties (high luminescence yield, narrow emission line, and long decay time constant)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,64
"Recently, it has been observed that there has been an increase in studies on phosphor materials doped with rare earth ions due to their wide application areas (solid-state lighting, photovoltaic systems, solar cells, display, luminescent materials, catalysts, laser materials, radiation dosimeters etc.)","Recently, it has been observed that there has been an increase in studies on phosphor materials doped with rare earth ions due to their wide application areas (solid-state lighting, photovoltaic systems, solar cells, display, luminescent materials, catalysts, laser materials, radiation dosimeters etc.)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104
"Up on going through the literature, it has become obvious that YAP crystals are frequently doped with transition metal and rare-earth elements [1,4,12–15].","Up on going through the literature, it has become obvious that YAP crystals are frequently doped with transition metal and rare-earth elements [1,4,12-15].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40
"Presence of two trivalent cations is leading to doping like this; transition metal and rare earth ions are doped at the Al and Y site, respectively.","Presence of two trivalent cations is leading to doping like this; transition metal and rare earth ions are doped at the Al and Y site, respectively.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
"Until now, most publications on the synthesis of rare earth and transition metal doped YAlO3 have focused the Czochralski growing process that is used for the growth of the single crystal","Until now, most publications on the synthesis of rare earth and transition metal doped YAlO3 have focused the Czochralski growing process that is used for the growth of the single crystal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
"In literature there are reports on the thermoluminescence of many phosphors like aluminates, silicates, sulfates, borates, phosphates, fluorides [24,25,30–37].","In literature there are reports on the thermoluminescence of many phosphors like aluminates, silicates, sulfates, borates, phosphates, fluorides [24,25,30-37].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59
The metallic oxides-based TL material has received lots of attention due to their characteristics and their possible applications for radiation dosimetry,The metallic oxides-based TL material has received lots of attention due to their characteristics and their possible applications for radiation dosimetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
"[38], especially aluminate groups have significant properties such as chemically and thermally stability, high luminescence intensity, high quantum efficiency [39,40].","[38], especially aluminate groups have significant properties such as chemically and thermally stability, high luminescence intensity, high quantum efficiency [39,40].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59
Rare earth and transition metal ion doped YAlO3 phosphors also have strong termoluminescent sensitivity and negligible fading,Rare earth and transition metal ion doped YAlO3 phosphors also have strong termoluminescent sensitivity and negligible fading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
"As to YAlO3:Mn2+ phosphors, although they are not a tissue-equivalent materials, it can be considered that YAlO3:Mn2+ is a good candidate for middle- and high-dose dosimetry of ionizing radiation due to repeatability, thermal fading, dose dependence, and effect of daylight exposure [44–46].","As to YAlO3:Mn2+ phosphors, although they are not a tissue-equivalent materials, it can be considered that YAlO3:Mn2+ is a good candidate for middle- and high-dose dosimetry of ionizing radiation due to repeatability, thermal fading, dose dependence, and effect of daylight exposure [44-46].",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1
"In this work, we report on the aqueous based sol-gel synthesis that is accepted one of the easiest route to acquire homogeneous chemical composition [47] and luminescence (TL, PL) properties of YAlO3 phosphor doped/co-doped with Tb3+/Nd3+/Mn2+.","In this work, we report on the aqueous based sol-gel synthesis that is accepted one of the easiest route to acquire homogeneous chemical composition [47] and luminescence (TL, PL) properties of YAlO3 phosphor doped/co-doped with Tb3+/Nd3+/Mn2+.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,35
